#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_47	0.0000	50155	0.4867	0.0000	0	0	0	0.0000	0	0.00
scaffold_48	0.0000	48995	0.4796	0.0000	0	0	0	0.0000	0	0.00
scaffold_49	0.0000	43647	0.4738	0.0000	0	0	0	0.0000	0	0.00
scaffold_50	0.0000	43151	0.4726	0.0000	0	0	0	0.0000	0	0.00
scaffold_51	263.9161	42224	0.5204	72.7027	30698	37425	37435	0.4839	5	1329.70
scaffold_52	0.0000	40780	0.4796	0.0000	0	0	0	0.0000	0	0.00
scaffold_53	0.0000	39010	0.4813	0.0000	0	0	0	0.0000	0	0.00
scaffold_54	0.0000	38149	0.4656	0.0000	0	0	0	0.0000	0	0.00
scaffold_55	0.0000	37520	0.4872	0.0000	0	0	0	0.0000	0	0.00
scaffold_56	0.0000	32754	0.4846	0.0000	0	0	0	0.0000	0	0.00
scaffold_57	1727.1367	31311	0.2649	100.0000	31311	182786	182675	0.2697	1739	223.07
scaffold_58	40.6015	30460	0.1610	84.9114	25864	3828	3791	0.1639	45	22.44
scaffold_59	0.0000	30229	0.4770	0.0000	0	0	0	0.0000	0	0.00
scaffold_60	0.0000	28109	0.4796	0.0000	0	0	0	0.0000	0	0.00
scaffold_61	0.0000	19758	0.4698	0.0000	0	0	0	0.0000	0	0.00
scaffold_62	0.0000	4904	0.4800	0.0000	0	0	0	0.0000	0	0.00
